"","index","genome","identifier","file","clip","scale","sum_stat","description"
"153",3858,0,"ENCFF805NTL","/home/drk/tillage/datasets/human/chip/encode/ENCSR778UBR/summary/ENCFF805NTL.w5",32,2,"mean","CHIP:ARID3A:GM12878"
"154",3876,0,"ENCFF980IVI","/home/drk/tillage/datasets/human/chip/encode/ENCSR784VIQ/summary/ENCFF980IVI.w5",32,2,"mean","CHIP:NR2C1:GM12878"
"155",3879,0,"ENCFF609ZOH","/home/drk/tillage/datasets/human/chip/encode/ENCSR785OKZ/summary/ENCFF609ZOH.w5",32,2,"mean","CHIP:RB1:GM12878"
"156",3909,0,"ENCFF873VXN","/home/drk/tillage/datasets/human/chip/encode/ENCSR793HVL/summary/ENCFF873VXN.w5",32,2,"mean","CHIP:E2F8:GM12878"
"157",3965,0,"ENCFF848LJL","/home/drk/tillage/datasets/human/chip/encode/ENCSR813DCK/summary/ENCFF848LJL.w5",32,2,"mean","CHIP:SMAD1:GM12878"
"158",3983,0,"ENCFF779ODE","/home/drk/tillage/datasets/human/chip/encode/ENCSR819ATC/summary/ENCFF779ODE.w5",32,2,"mean","CHIP:MYB:GM12878"
"159",3990,0,"ENCFF614WVD","/home/drk/tillage/datasets/human/chip/encode/ENCSR822AHX/summary/ENCFF614WVD.w5",32,2,"mean","CHIP:IKZF2:GM12878"
"160",4011,0,"ENCFF344NUU","/home/drk/tillage/datasets/human/chip/encode/ENCSR828NCB/summary/ENCFF344NUU.w5",32,2,"mean","CHIP:GATAD2B:GM12878"
"161",4029,0,"ENCFF547HHK","/home/drk/tillage/datasets/human/chip/encode/ENCSR835XKS/summary/ENCFF547HHK.w5",32,2,"mean","CHIP:TRIM22:GM12878"
"162",4042,0,"ENCFF639LCK","/home/drk/tillage/datasets/human/chip/encode/ENCSR839XZU/summary/ENCFF639LCK.w5",32,2,"mean","CHIP:CREM:GM12878"
"163",4045,0,"ENCFF992JJW","/home/drk/tillage/datasets/human/chip/encode/ENCSR841NDX/summary/ENCFF992JJW.w5",32,2,"mean","CHIP:ELF1:GM12878"
"164",4070,0,"ENCFF384BWK","/home/drk/tillage/datasets/human/chip/encode/ENCSR849WCQ/summary/ENCFF384BWK.w5",32,2,"mean","CHIP:ASH2L:GM12878"
"165",4102,0,"ENCFF038IYA","/home/drk/tillage/datasets/human/chip/encode/ENCSR859FDL/summary/ENCFF038IYA.w5",32,2,"mean","CHIP:ZNF687:GM12878"
"166",4110,0,"ENCFF930HBS","/home/drk/tillage/datasets/human/chip/encode/ENCSR860UHK/summary/ENCFF930HBS.w5",32,2,"mean","CHIP:CBFB:GM12878"
"167",4111,0,"ENCFF291BKK","/home/drk/tillage/datasets/human/chip/encode/ENCSR861JUQ/summary/ENCFF291BKK.w5",32,2,"mean","CHIP:FOXK2:GM12878"
"168",4144,0,"ENCFF723XZS","/home/drk/tillage/datasets/human/chip/encode/ENCSR874AFU/summary/ENCFF723XZS.w5",32,2,"mean","CHIP:IKZF1:GM12878"
"169",4217,0,"ENCFF103OHX","/home/drk/tillage/datasets/human/chip/encode/ENCSR897MMC/summary/ENCFF103OHX.w5",32,2,"mean","CHIP:JUNB:GM12878"
"170",4232,0,"ENCFF735YSE","/home/drk/tillage/datasets/human/chip/encode/ENCSR900XDB/summary/ENCFF735YSE.w5",32,2,"mean","CHIP:ZFP36:GM12878"
"171",4326,0,"ENCFF714MSZ","/home/drk/tillage/datasets/human/chip/encode/ENCSR933EYC/summary/ENCFF714MSZ.w5",32,2,"mean","CHIP:HDAC6:GM12878"
"172",4333,0,"ENCFF232VFZ","/home/drk/tillage/datasets/human/chip/encode/ENCSR936XTK/summary/ENCFF232VFZ.w5",32,2,"mean","CHIP:ZNF143:GM12878"
"173",4405,0,"ENCFF472KMT","/home/drk/tillage/datasets/human/chip/encode/ENCSR961PPA/summary/ENCFF472KMT.w5",32,2,"mean","CHIP:ATF2:GM12878"
"174",4437,0,"ENCFF217RFD","/home/drk/tillage/datasets/human/chip/encode/ENCSR974OFJ/summary/ENCFF217RFD.w5",32,2,"mean","CHIP:KLF5:GM12878"
"175",4445,0,"ENCFF398JJK","/home/drk/tillage/datasets/human/chip/encode/ENCSR976TBC/summary/ENCFF398JJK.w5",32,2,"mean","CHIP:IRF5:GM12878"
"176",4475,0,"ENCFF402ZMX","/home/drk/tillage/datasets/human/chip/encode/ENCSR987MTA/summary/ENCFF402ZMX.w5",32,2,"mean","CHIP:BHLHE40:GM12878"
"177",5110,0,"CNhs12333","/home/drk/tillage/datasets/human/cage/fantom/CNhs12331/summary/coverage.w5",384,1,"sum","CAGE:B lymphoblastoid cell line: GM12878 ENCODE, biol_"
