GENE_ID	GEUVADIS	IN_GENCODE	CHR	LEFT	TSS	RIGHT	DIRECTION
ENSG00000117318	ENSG00000117318.8	TRUE	chr1	22885992	23885992	24885992	-
ENSG00000117322	ENSG00000117322.12	TRUE	chr1	206627575	207627575	208627575	+
ENSG00000117335	ENSG00000117335.13	TRUE	chr1	206925399	207925399	208925399	+
ENSG00000117360	ENSG00000117360.8	TRUE	chr1	149293928	150293928	151293928	+
ENSG00000117362	ENSG00000117362.8	TRUE	chr1	149241980	150241980	151241980	-
ENSG00000117385	ENSG00000117385.10	TRUE	chr1	42232755	43232755	44232755	-
ENSG00000117394	ENSG00000117394.12	TRUE	chr1	42424564	43424564	44424564	-
ENSG00000117395	ENSG00000117395.5	TRUE	chr1	42736607	43736607	44736607	-
ENSG00000117399	ENSG00000117399.8	TRUE	chr1	42824652	43824652	44824652	+
ENSG00000117407	ENSG00000117407.12	TRUE	chr1	43398992	44398992	45398992	+
ENSG00000117408	ENSG00000117408.5	TRUE	chr1	43412622	44412622	45412622	+
ENSG00000117410	ENSG00000117410.8	TRUE	chr1	43440159	44440159	45440159	+
ENSG00000117411	ENSG00000117411.12	TRUE	chr1	43444615	44444615	45444615	+
ENSG00000117419	ENSG00000117419.9	TRUE	chr1	43820932	44820932	45820932	-
ENSG00000117425	ENSG00000117425.9	TRUE	chr1	44308925	45308925	46308925	-
ENSG00000117448	ENSG00000117448.9	TRUE	chr1	45016215	46016215	47016215	+
ENSG00000117450	ENSG00000117450.9	TRUE	chr1	45008404	46008404	47008404	-
ENSG00000117461	ENSG00000117461.10	TRUE	chr1	45598708	46598708	47598708	-
ENSG00000117472	ENSG00000117472.4	TRUE	chr1	45640745	46640745	47640745	+
ENSG00000117475	ENSG00000117475.9	TRUE	chr1	168337208	169337208	170337208	+
ENSG00000117477	ENSG00000117477.8	TRUE	chr1	168429907	169429907	170429907	-
ENSG00000117479	ENSG00000117479.7	TRUE	chr1	168455182	169455182	170455182	-
ENSG00000117480	ENSG00000117480.10	TRUE	chr1	45859989	46859989	47859989	+
ENSG00000117481	ENSG00000117481.5	TRUE	chr1	45806461	46806461	47806461	+
ENSG00000117500	ENSG00000117500.7	TRUE	chr1	92646073	93646073	94646073	-
ENSG00000117505	ENSG00000117505.7	TRUE	chr1	92811464	93811464	94811464	+
ENSG00000117519	ENSG00000117519.11	TRUE	chr1	94392779	95392779	96392779	-
ENSG00000117523	ENSG00000117523.10	TRUE	chr1	170454669	171454669	172454669	+
ENSG00000117528	ENSG00000117528.7	TRUE	chr1	93883945	94883945	95883945	+
ENSG00000117533	ENSG00000117533.10	TRUE	chr1	170711214	171711214	172711214	-
ENSG00000117543	ENSG00000117543.13	TRUE	chr1	100491644	101491644	102491644	-
ENSG00000117569	ENSG00000117569.12	TRUE	chr1	96187221	97187221	98187221	+
ENSG00000117586	ENSG00000117586.5	TRUE	chr1	172176470	173176470	174176470	-
ENSG00000117592	ENSG00000117592.8	TRUE	chr1	172446469	173446469	174446469	+
ENSG00000117593	ENSG00000117593.8	TRUE	chr1	172793791	173793791	174793791	+
ENSG00000117594	ENSG00000117594.4	TRUE	chr1	208859523	209859523	210859523	+
ENSG00000117595	ENSG00000117595.6	TRUE	chr1	208979520	209979520	210979520	-
ENSG00000117597	ENSG00000117597.12	TRUE	chr1	209001317	210001317	211001317	+
ENSG00000117602	ENSG00000117602.6	TRUE	chr1	23828841	24828841	25828841	+
ENSG00000117614	ENSG00000117614.5	TRUE	chr1	24558993	25558993	26558993	-
ENSG00000117616	ENSG00000117616.12	TRUE	chr1	24664704	25664704	26664704	-
ENSG00000117620	ENSG00000117620.7	TRUE	chr1	99434907	100434907	101434907	+
ENSG00000117625	ENSG00000117625.9	TRUE	chr1	210431719	211431719	212431719	+
ENSG00000117632	ENSG00000117632.16	TRUE	chr1	25233482	26233482	27233482	-
ENSG00000117640	ENSG00000117640.13	TRUE	chr1	25145131	26145131	27145131	+
ENSG00000117643	ENSG00000117643.9	TRUE	chr1	24943282	25943282	26943282	+
ENSG00000117650	ENSG00000117650.8	TRUE	chr1	210848972	211848972	212848972	-
ENSG00000117676	ENSG00000117676.7	TRUE	chr1	25856252	26856252	27856252	+
ENSG00000117682	ENSG00000117682.10	TRUE	chr1	25758773	26758773	27758773	+
ENSG00000117691	ENSG00000117691.5	TRUE	chr1	211606262	212606262	213606262	+
ENSG00000117697	ENSG00000117697.10	TRUE	chr1	211965124	212965124	213965124	-
ENSG00000117707	ENSG00000117707.9	TRUE	chr1	213156524	214156524	215156524	+
ENSG00000117713	ENSG00000117713.13	TRUE	chr1	26019727	27019727	28019727	+
ENSG00000117724	ENSG00000117724.7	TRUE	chr1	213776538	214776538	215776538	+
ENSG00000117748	ENSG00000117748.5	TRUE	chr1	27241257	28241257	29241257	-
ENSG00000117751	ENSG00000117751.12	TRUE	chr1	27157293	28157293	29157293	+
ENSG00000117758	ENSG00000117758.8	TRUE	chr1	27099730	28099730	29099730	+
ENSG00000117791	ENSG00000117791.11	TRUE	chr1	219921567	220921567	221921567	+
ENSG00000117859	ENSG00000117859.14	TRUE	chr1	51042851	52042851	53042851	+
ENSG00000117862	ENSG00000117862.6	TRUE	chr1	51520863	52520863	53520863	-
ENSG00000118193	ENSG00000118193.7	TRUE	chr1	199589879	200589879	201589879	-
ENSG00000118197	ENSG00000118197.8	TRUE	chr1	199639035	200639035	201639035	-
ENSG00000118200	ENSG00000118200.10	TRUE	chr1	199708686	200708686	201708686	+
ENSG00000118217	ENSG00000118217.5	TRUE	chr1	160736088	161736088	162736088	+
ENSG00000118292	ENSG00000118292.4	TRUE	chr1	149240600	150240600	151240600	+
ENSG00000118298	ENSG00000118298.5	TRUE	chr1	149229646	150229646	151229646	+
ENSG00000118454	ENSG00000118454.8	TRUE	chr1	69820417	70820417	71820417	-
ENSG00000118655	ENSG00000118655.4	TRUE	chr1	113447835	114447835	115447835	+
ENSG00000118733	ENSG00000118733.11	TRUE	chr1	101462482	102462482	103462482	-
ENSG00000118873	ENSG00000118873.10	TRUE	chr1	219445795	220445795	221445795	-
ENSG00000119280	ENSG00000119280.12	TRUE	chr1	230005335	231005335	232005335	-
ENSG00000119283	ENSG00000119283.11	TRUE	chr1	230297804	231297804	232297804	+
ENSG00000119285	ENSG00000119285.6	TRUE	chr1	235767816	236767816	237767816	-
ENSG00000119535	ENSG00000119535.13	TRUE	chr1	35948879	36948879	37948879	-
ENSG00000120332	ENSG00000120332.10	TRUE	chr1	174036969	175036969	176036969	+
ENSG00000120333	ENSG00000120333.4	TRUE	chr1	173992561	174992561	175992561	-
ENSG00000120334	ENSG00000120334.11	TRUE	chr1	172794021	173794021	174794021	-
ENSG00000120341	ENSG00000120341.10	TRUE	chr1	176953438	177953438	178953438	-
ENSG00000120370	ENSG00000120370.7	TRUE	chr1	169501272	170501272	171501272	+
ENSG00000120656	ENSG00000120656.7	TRUE	chr1	27969597	28969597	29969597	-
ENSG00000120942	ENSG00000120942.8	TRUE	chr1	10333255	11333255	12333255	+
ENSG00000120948	ENSG00000120948.10	TRUE	chr1	10072401	11072401	12072401	+
ENSG00000120949	ENSG00000120949.10	TRUE	chr1	11123360	12123360	13123360	+
ENSG00000121310	ENSG00000121310.11	TRUE	chr1	52392884	53392884	54392884	-
ENSG00000121454	ENSG00000121454.4	TRUE	chr1	179199399	180199399	181199399	+
ENSG00000121481	ENSG00000121481.6	TRUE	chr1	184014658	185014658	186014658	+
ENSG00000121486	ENSG00000121486.7	TRUE	chr1	184126204	185126204	186126204	-
ENSG00000121644	ENSG00000121644.14	TRUE	chr1	243816405	244816405	245816405	+
ENSG00000121753	ENSG00000121753.8	TRUE	chr1	31230494	32230494	33230494	-
ENSG00000121766	ENSG00000121766.10	TRUE	chr1	30769829	31769829	32769829	+
ENSG00000121769	ENSG00000121769.3	TRUE	chr1	30849697	31849697	32849697	-
ENSG00000121774	ENSG00000121774.11	TRUE	chr1	31479469	32479469	33479469	+
ENSG00000121775	ENSG00000121775.12	TRUE	chr1	31537632	32537632	33537632	+
ENSG00000121851	ENSG00000121851.8	TRUE	chr1	144470400	145470400	146470400	-
ENSG00000121900	ENSG00000121900.12	TRUE	chr1	32367039	33367039	34367039	-
ENSG00000121903	ENSG00000121903.8	TRUE	chr1	32938246	33938246	34938246	+
ENSG00000121905	ENSG00000121905.5	TRUE	chr1	32351595	33351595	34351595	+
ENSG00000121931	ENSG00000121931.11	TRUE	chr1	110506587	111506587	112506587	-
ENSG00000121933	ENSG00000121933.12	TRUE	chr1	111106584	112106584	113106584	-
ENSG00000121940	ENSG00000121940.11	TRUE	chr1	108506126	109506126	110506126	-
ENSG00000121957	ENSG00000121957.7	TRUE	chr1	108417972	109417972	110417972	+
ENSG00000122176	ENSG00000122176.8	TRUE	chr1	202320886	203320886	204320886	-
ENSG00000122188	ENSG00000122188.8	TRUE	chr1	202734305	203734305	204734305	+
ENSG00000122218	ENSG00000122218.10	TRUE	chr1	159313063	160313063	161313063	-
ENSG00000122223	ENSG00000122223.8	TRUE	chr1	159832677	160832677	161832677	-
ENSG00000122224	ENSG00000122224.10	TRUE	chr1	159765864	160765864	161765864	+
ENSG00000122406	ENSG00000122406.6	TRUE	chr1	92297570	93297570	94297570	+
ENSG00000122417	ENSG00000122417.9	TRUE	chr1	85862025	86862025	87862025	-
ENSG00000122432	ENSG00000122432.11	TRUE	chr1	83971983	84971983	85971983	+
ENSG00000122435	ENSG00000122435.5	TRUE	chr1	99598706	100598706	101598706	+
ENSG00000122477	ENSG00000122477.7	TRUE	chr1	99643829	100643829	101643829	-
ENSG00000122481	ENSG00000122481.12	TRUE	chr1	94699766	95699766	96699766	+
ENSG00000122482	ENSG00000122482.15	TRUE	chr1	90487829	91487829	92487829	-
ENSG00000122483	ENSG00000122483.13	TRUE	chr1	92645476	93645476	94645476	+
ENSG00000122484	ENSG00000122484.6	TRUE	chr1	91764616	92764616	93764616	+
ENSG00000122497	ENSG00000122497.11	TRUE	chr1	147025863	148025863	149025863	-
ENSG00000123080	ENSG00000123080.6	TRUE	chr1	50426417	51426417	52426417	+
ENSG00000123091	ENSG00000123091.4	TRUE	chr1	50701945	51701945	52701945	+
ENSG00000123472	ENSG00000123472.8	TRUE	chr1	46139539	47139539	48139539	-
ENSG00000123473	ENSG00000123473.10	TRUE	chr1	46780564	47780564	48780564	-
ENSG00000123684	ENSG00000123684.8	TRUE	chr1	211004105	212004105	213004105	-
ENSG00000123685	ENSG00000123685.4	TRUE	chr1	211873182	212873182	213873182	-
ENSG00000123689	ENSG00000123689.5	TRUE	chr1	208848757	209848757	210848757	+
ENSG00000123836	ENSG00000123836.10	TRUE	chr1	206207711	207207711	208207711	+
ENSG00000123843	ENSG00000123843.7	TRUE	chr1	206262205	207262205	208262205	+
ENSG00000125459	ENSG00000125459.9	TRUE	chr1	154579996	155579996	156579996	+
ENSG00000125462	ENSG00000125462.11	TRUE	chr1	155426555	156426555	157426555	-
ENSG00000125703	ENSG00000125703.8	TRUE	chr1	62249803	63249803	64249803	+
ENSG00000125944	ENSG00000125944.12	TRUE	chr1	22670829	23670829	24670829	-
ENSG00000125945	ENSG00000125945.9	TRUE	chr1	22696329	23696329	24696329	-
ENSG00000126067	ENSG00000126067.7	TRUE	chr1	35107127	36107127	37107127	-
ENSG00000126070	ENSG00000126070.12	TRUE	chr1	35396319	36396319	37396319	+
ENSG00000126088	ENSG00000126088.7	TRUE	chr1	44476622	45476622	46476622	+
ENSG00000126091	ENSG00000126091.15	TRUE	chr1	43171495	44171495	45171495	+
ENSG00000126106	ENSG00000126106.9	TRUE	chr1	44140153	45140153	46140153	-
ENSG00000126107	ENSG00000126107.10	TRUE	chr1	44476996	45476996	46476996	-
ENSG00000126698	ENSG00000126698.5	TRUE	chr1	27559540	28559540	29559540	-
ENSG00000126705	ENSG00000126705.7	TRUE	chr1	26930942	27930942	28930942	-
ENSG00000126709	ENSG00000126709.10	TRUE	chr1	26998723	27998723	28998723	-
ENSG00000127054	ENSG00000127054.12	TRUE	chr1	260067	1260067	2260067	-
ENSG00000127074	ENSG00000127074.10	TRUE	chr1	191605268	192605268	193605268	+
ENSG00000127124	ENSG00000127124.9	TRUE	chr1	41501596	42501596	43501596	-
ENSG00000127125	ENSG00000127125.6	TRUE	chr1	41921788	42921788	43921788	+
ENSG00000127129	ENSG00000127129.5	TRUE	chr1	40950354	41950354	42950354	-
ENSG00000127423	ENSG00000127423.6	TRUE	chr1	25185949	26185949	27185949	-
ENSG00000127463	ENSG00000127463.8	TRUE	chr1	18578021	19578021	20578021	-
ENSG00000127472	ENSG00000127472.6	TRUE	chr1	19354672	20354672	21354672	+
ENSG00000127481	ENSG00000127481.9	TRUE	chr1	18536760	19536760	20536760	-
ENSG00000127483	ENSG00000127483.12	TRUE	chr1	20113816	21113816	22113816	-
ENSG00000127603	ENSG00000127603.17	TRUE	chr1	38546988	39546988	40546988	+
ENSG00000130695	ENSG00000130695.8	TRUE	chr1	25560691	26560691	27560691	+
ENSG00000130764	ENSG00000130764.5	TRUE	chr1	2713062	3713062	4713062	-
ENSG00000130766	ENSG00000130766.4	TRUE	chr1	27586029	28586029	29586029	+
ENSG00000130768	ENSG00000130768.8	TRUE	chr1	27261511	28261511	29261511	+
ENSG00000130770	ENSG00000130770.12	TRUE	chr1	27562620	28562620	29562620	+
ENSG00000130772	ENSG00000130772.9	TRUE	chr1	27655513	28655513	29655513	+
ENSG00000130775	ENSG00000130775.11	TRUE	chr1	27199054	28199054	29199054	+
ENSG00000130939	ENSG00000130939.13	TRUE	chr1	9092890	10092890	11092890	+
ENSG00000130940	ENSG00000130940.9	TRUE	chr1	9856707	10856707	11856707	-
ENSG00000131233	ENSG00000131233.8	TRUE	chr1	38347259	39347259	40347259	-
ENSG00000131236	ENSG00000131236.11	TRUE	chr1	39505905	40505905	41505905	+
ENSG00000131238	ENSG00000131238.10	TRUE	chr1	39562932	40562932	41562932	-
ENSG00000131584	ENSG00000131584.13	TRUE	chr1	244989	1244989	2244989	-
ENSG00000131591	ENSG00000131591.12	TRUE	chr1	51741	1051741	2051741	-
ENSG00000131697	ENSG00000131697.12	TRUE	chr1	5052533	6052533	7052533	-
ENSG00000131778	ENSG00000131778.12	TRUE	chr1	145714304	146714304	147714304	+
ENSG00000131779	ENSG00000131779.6	TRUE	chr1	144516372	145516372	146516372	+
ENSG00000131781	ENSG00000131781.8	TRUE	chr1	145714700	146714700	147714700	-
ENSG00000131788	ENSG00000131788.10	TRUE	chr1	144575233	145575233	146575233	+
ENSG00000131791	ENSG00000131791.6	TRUE	chr1	145644129	146644129	147644129	-
ENSG00000132122	ENSG00000132122.6	TRUE	chr1	47937880	48937880	49937880	-
ENSG00000132128	ENSG00000132128.11	TRUE	chr1	45769288	46769288	47769288	-
ENSG00000132185	ENSG00000132185.12	TRUE	chr1	160676762	161676762	162676762	+
ENSG00000132196	ENSG00000132196.8	TRUE	chr1	161760492	162760492	163760492	+
ENSG00000132485	ENSG00000132485.8	TRUE	chr1	70546972	71546972	72546972	-
ENSG00000132676	ENSG00000132676.10	TRUE	chr1	154657751	155657751	156657751	+
ENSG00000132680	ENSG00000132680.6	TRUE	chr1	154904204	155904204	156904204	-
ENSG00000132681	ENSG00000132681.12	TRUE	chr1	159121376	160121376	161121376	+
ENSG00000132688	ENSG00000132688.9	TRUE	chr1	155647199	156647199	157647199	-
ENSG00000132692	ENSG00000132692.12	TRUE	chr1	155611182	156611182	157611182	+
ENSG00000132694	ENSG00000132694.14	TRUE	chr1	156015534	157015534	158015534	-
ENSG00000132704	ENSG00000132704.10	TRUE	chr1	156746922	157746922	158746922	-
ENSG00000132716	ENSG00000132716.11	TRUE	chr1	159232339	160232339	161232339	-
ENSG00000132718	ENSG00000132718.7	TRUE	chr1	154829358	155829358	156829358	+
ENSG00000132763	ENSG00000132763.9	TRUE	chr1	44965972	45965972	46965972	+
ENSG00000132768	ENSG00000132768.9	TRUE	chr1	43435672	44435672	45435672	+
ENSG00000132773	ENSG00000132773.7	TRUE	chr1	44805724	45805724	46805724	+
ENSG00000132780	ENSG00000132780.11	TRUE	chr1	45049518	46049518	47049518	+
ENSG00000132781	ENSG00000132781.11	TRUE	chr1	44806565	45806565	46806565	-
ENSG00000132849	ENSG00000132849.13	TRUE	chr1	61208149	62208149	63208149	+
ENSG00000132879	ENSG00000132879.9	TRUE	chr1	10714432	11714432	12714432	+
ENSG00000132881	ENSG00000132881.5	TRUE	chr1	15563678	16563678	17563678	-
ENSG00000132906	ENSG00000132906.12	TRUE	chr1	14853029	15853029	16853029	-
ENSG00000133048	ENSG00000133048.8	TRUE	chr1	202155832	203155832	204155832	-
ENSG00000133055	ENSG00000133055.4	TRUE	chr1	202144954	203144954	204144954	-
ENSG00000133056	ENSG00000133056.8	TRUE	chr1	203463933	204463933	205463933	-
ENSG00000133059	ENSG00000133059.12	TRUE	chr1	204180830	205180830	206180830	-
ENSG00000133063	ENSG00000133063.11	TRUE	chr1	202242769	203242769	204242769	-
ENSG00000133065	ENSG00000133065.6	TRUE	chr1	204782876	205782876	206782876	-
ENSG00000133069	ENSG00000133069.10	TRUE	chr1	204197074	205197074	206197074	+
ENSG00000133216	ENSG00000133216.11	TRUE	chr1	22037332	23037332	24037332	+
ENSG00000133226	ENSG00000133226.10	TRUE	chr1	23958207	24958207	25958207	+
ENSG00000134183	ENSG00000134183.7	TRUE	chr1	109162551	110162551	111162551	-
ENSG00000134184	ENSG00000134184.7	TRUE	chr1	109230436	110230436	111230436	+
ENSG00000134186	ENSG00000134186.7	TRUE	chr1	108234932	109234932	110234932	+
ENSG00000134198	ENSG00000134198.5	TRUE	chr1	114632124	115632124	116632124	-
ENSG00000134201	ENSG00000134201.5	TRUE	chr1	109254402	110254402	111254402	+
ENSG00000134202	ENSG00000134202.6	TRUE	chr1	109283660	110283660	111283660	-
ENSG00000134215	ENSG00000134215.11	TRUE	chr1	107507802	108507802	109507802	-
ENSG00000134222	ENSG00000134222.11	TRUE	chr1	108825808	109825808	110825808	-
ENSG00000134242	ENSG00000134242.11	TRUE	chr1	113414375	114414375	115414375	-
ENSG00000134243	ENSG00000134243.7	TRUE	chr1	108940540	109940540	110940540	-
ENSG00000134245	ENSG00000134245.12	TRUE	chr1	112009163	113009163	114009163	+
ENSG00000134247	ENSG00000134247.8	TRUE	chr1	116452538	117452538	118452538	+
ENSG00000134248	ENSG00000134248.8	TRUE	chr1	109950564	110950564	111950564	-
ENSG00000134250	ENSG00000134250.11	TRUE	chr1	119643366	120643366	121643366	-
ENSG00000134253	ENSG00000134253.5	TRUE	chr1	116665209	117665209	118665209	-
ENSG00000134255	ENSG00000134255.9	TRUE	chr1	110682249	111682249	112682249	+
ENSG00000134256	ENSG00000134256.8	TRUE	chr1	116544372	117544372	118544372	+
ENSG00000134262	ENSG00000134262.8	TRUE	chr1	113447823	114447823	115447823	-
ENSG00000134369	ENSG00000134369.10	TRUE	chr1	200592013	201592013	202592013	+
ENSG00000134371	ENSG00000134371.8	TRUE	chr1	192091113	193091113	194091113	+
ENSG00000134375	ENSG00000134375.6	TRUE	chr1	200924631	201924631	202924631	+
ENSG00000134644	ENSG00000134644.10	TRUE	chr1	30538838	31538838	32538838	-
ENSG00000134668	ENSG00000134668.7	TRUE	chr1	31281652	32281652	33281652	-
ENSG00000134684	ENSG00000134684.6	TRUE	chr1	32282981	33282981	34282981	-
ENSG00000134686	ENSG00000134686.11	TRUE	chr1	32896696	33896696	34896696	-
ENSG00000134690	ENSG00000134690.6	TRUE	chr1	37158153	38158153	39158153	+
ENSG00000134697	ENSG00000134697.6	TRUE	chr1	37061538	38061538	39061538	-
ENSG00000134698	ENSG00000134698.10	TRUE	chr1	35273617	36273617	37273617	+
ENSG00000134709	ENSG00000134709.6	TRUE	chr1	59280458	60280458	61280458	+
ENSG00000134716	ENSG00000134716.5	TRUE	chr1	59392445	60392445	61392445	-
ENSG00000134717	ENSG00000134717.13	TRUE	chr1	51521871	52521871	53521871	+
ENSG00000134744	ENSG00000134744.9	TRUE	chr1	52019159	53019159	54019159	-
ENSG00000134748	ENSG00000134748.11	TRUE	chr1	51870274	52870274	53870274	+
ENSG00000135747	ENSG00000135747.7	TRUE	chr1	246242113	247242113	248242113	-
ENSG00000135749	ENSG00000135749.13	TRUE	chr1	232431471	233431471	234431471	-
ENSG00000135750	ENSG00000135750.10	TRUE	chr1	232749852	233749852	234749852	+
ENSG00000135763	ENSG00000135763.5	TRUE	chr1	228761994	229761994	230761994	+
ENSG00000135766	ENSG00000135766.7	TRUE	chr1	230558033	231558033	232558033	-
ENSG00000135775	ENSG00000135775.8	TRUE	chr1	229778227	230778227	231778227	+
ENSG00000135776	ENSG00000135776.4	TRUE	chr1	228694454	229694454	230694454	-
ENSG00000135778	ENSG00000135778.6	TRUE	chr1	232086351	233086351	234086351	+
ENSG00000135801	ENSG00000135801.5	TRUE	chr1	228761794	229761794	230761794	-
ENSG00000135821	ENSG00000135821.10	TRUE	chr1	181361341	182361341	183361341	-
ENSG00000135823	ENSG00000135823.9	TRUE	chr1	179992257	180992257	181992257	-
ENSG00000135828	ENSG00000135828.6	TRUE	chr1	181558391	182558391	183558391	-
ENSG00000135829	ENSG00000135829.11	TRUE	chr1	181808482	182808482	183808482	+
ENSG00000135835	ENSG00000135835.6	TRUE	chr1	179882033	180882033	181882033	+
ENSG00000135837	ENSG00000135837.11	TRUE	chr1	178923908	179923908	180923908	+
ENSG00000135838	ENSG00000135838.8	TRUE	chr1	181758428	182758428	183758428	+
ENSG00000135842	ENSG00000135842.12	TRUE	chr1	183943640	184943640	185943640	-
ENSG00000135845	ENSG00000135845.4	TRUE	chr1	171413226	172413226	173413226	-
ENSG00000135862	ENSG00000135862.4	TRUE	chr1	181992555	182992555	183992555	+
ENSG00000135870	ENSG00000135870.7	TRUE	chr1	172991495	173991495	174991495	-
ENSG00000136628	ENSG00000136628.11	TRUE	chr1	219219872	220219872	221219872	-
ENSG00000136630	ENSG00000136630.10	TRUE	chr1	220052773	221052773	222052773	+
ENSG00000136631	ENSG00000136631.7	TRUE	chr1	149039336	150039336	151039336	+
ENSG00000136634	ENSG00000136634.5	TRUE	chr1	205947886	206947886	207947886	-
ENSG00000136636	ENSG00000136636.6	TRUE	chr1	214740647	215740647	216740647	+
ENSG00000136643	ENSG00000136643.7	TRUE	chr1	212224575	213224575	214224575	+
ENSG00000137936	ENSG00000137936.11	TRUE	chr1	93312706	94312706	95312706	-
ENSG00000137941	ENSG00000137941.11	TRUE	chr1	83464833	84464833	85464833	-
ENSG00000137942	ENSG00000137942.10	TRUE	chr1	92913675	93913675	94913675	+
ENSG00000137944	ENSG00000137944.12	TRUE	chr1	88458636	89458636	90458636	-
ENSG00000137947	ENSG00000137947.7	TRUE	chr1	88357627	89357627	90357627	-
ENSG00000137955	ENSG00000137955.10	TRUE	chr1	75251882	76251882	77251882	+
ENSG00000137959	ENSG00000137959.10	TRUE	chr1	78085587	79085587	80085587	+
ENSG00000137960	ENSG00000137960.5	TRUE	chr1	77445226	78445226	79445226	+
ENSG00000137962	ENSG00000137962.8	TRUE	chr1	93740624	94740624	95740624	-
ENSG00000137965	ENSG00000137965.6	TRUE	chr1	78115481	79115481	80115481	+
ENSG00000137968	ENSG00000137968.11	TRUE	chr1	75076801	76076801	77076801	-
ENSG00000137970	ENSG00000137970.7	TRUE	chr1	96145176	97145176	98145176	-
ENSG00000137992	ENSG00000137992.8	TRUE	chr1	99715390	100715390	101715390	-
ENSG00000137996	ENSG00000137996.8	TRUE	chr1	99731772	100731772	101731772	+
ENSG00000142224	ENSG00000142224.11	TRUE	chr1	205944109	206944109	207944109	+
ENSG00000142583	ENSG00000142583.11	TRUE	chr1	8148537	9148537	10148537	-
ENSG00000142599	ENSG00000142599.13	TRUE	chr1	7908980	8908980	9908980	-
ENSG00000142606	ENSG00000142606.10	TRUE	chr1	1564455	2564455	3564455	-
ENSG00000142621	ENSG00000142621.14	TRUE	chr1	14563017	15563017	16563017	+
ENSG00000142623	ENSG00000142623.8	TRUE	chr1	16531623	17531623	18531623	+
ENSG00000142627	ENSG00000142627.9	TRUE	chr1	15482564	16482564	17482564	-
ENSG00000142632	ENSG00000142632.10	TRUE	chr1	15539147	16539147	17539147	-
ENSG00000142634	ENSG00000142634.7	TRUE	chr1	14736384	15736384	16736384	+
ENSG00000142655	ENSG00000142655.7	TRUE	chr1	9532345	10532345	11532345	+
ENSG00000142657	ENSG00000142657.14	TRUE	chr1	9458649	10458649	11458649	+
ENSG00000142669	ENSG00000142669.8	TRUE	chr1	25606577	26606577	27606577	+
ENSG00000142675	ENSG00000142675.11	TRUE	chr1	25503975	26503975	27503975	+
ENSG00000142676	ENSG00000142676.8	TRUE	chr1	23018232	24018232	25018232	+
ENSG00000142684	ENSG00000142684.7	TRUE	chr1	25496399	26496399	27496399	+
ENSG00000142686	ENSG00000142686.6	TRUE	chr1	35184495	36184495	37184495	-
ENSG00000142687	ENSG00000142687.11	TRUE	chr1	35023551	36023551	37023551	-
ENSG00000142694	ENSG00000142694.6	TRUE	chr1	35789755	36789755	37789755	-
ENSG00000142733	ENSG00000142733.8	TRUE	chr1	26693452	27693452	28693452	-
ENSG00000142751	ENSG00000142751.7	TRUE	chr1	26216774	27216774	28216774	-
ENSG00000142765	ENSG00000142765.12	TRUE	chr1	26668511	27668511	28668511	+
ENSG00000142784	ENSG00000142784.10	TRUE	chr1	26561123	27561123	28561123	+
ENSG00000142794	ENSG00000142794.11	TRUE	chr1	20766621	21766621	22766621	+
ENSG00000142798	ENSG00000142798.11	TRUE	chr1	21263803	22263803	23263803	-
ENSG00000142856	ENSG00000142856.12	TRUE	chr1	63059392	64059392	65059392	-
ENSG00000142864	ENSG00000142864.10	TRUE	chr1	66896098	67896098	68896098	-
ENSG00000142867	ENSG00000142867.6	TRUE	chr1	84742315	85742315	86742315	-
ENSG00000142871	ENSG00000142871.10	TRUE	chr1	85046444	86046444	87046444	+
ENSG00000142875	ENSG00000142875.13	TRUE	chr1	83543745	84543745	85543745	+
ENSG00000142892	ENSG00000142892.10	TRUE	chr1	76685115	77685115	78685115	-
ENSG00000142910	ENSG00000142910.9	TRUE	chr1	31042086	32042086	33042086	+
ENSG00000142920	ENSG00000142920.11	TRUE	chr1	32546705	33546705	34546705	+
ENSG00000142937	ENSG00000142937.7	TRUE	chr1	44240923	45240923	46240923	+
ENSG00000142945	ENSG00000142945.8	TRUE	chr1	44205490	45205490	46205490	+
ENSG00000142949	ENSG00000142949.12	TRUE	chr1	42990858	43990858	44990858	+
ENSG00000142959	ENSG00000142959.4	TRUE	chr1	44253842	45253842	46253842	-
ENSG00000142961	ENSG00000142961.10	TRUE	chr1	46082556	47082556	48082556	-
ENSG00000143013	ENSG00000143013.7	TRUE	chr1	86794563	87794563	88794563	+
ENSG00000143028	ENSG00000143028.7	TRUE	chr1	109009168	110009168	111009168	+
ENSG00000143033	ENSG00000143033.11	TRUE	chr1	92544792	93544792	94544792	+
ENSG00000143061	ENSG00000143061.13	TRUE	chr1	116210377	117210377	118210377	-
ENSG00000143067	ENSG00000143067.4	TRUE	chr1	119190889	120190889	121190889	-
ENSG00000143079	ENSG00000143079.7	TRUE	chr1	111938836	112938836	113938836	+
ENSG00000143093	ENSG00000143093.9	TRUE	chr1	109574199	110574199	111574199	+
ENSG00000143106	ENSG00000143106.8	TRUE	chr1	108969070	109969070	110969070	-
ENSG00000143110	ENSG00000143110.7	TRUE	chr1	111016414	112016414	113016414	+
ENSG00000143119	ENSG00000143119.7	TRUE	chr1	110413810	111413810	112413810	+
ENSG00000143126	ENSG00000143126.6	TRUE	chr1	108792161	109792161	110792161	+
ENSG00000143127	ENSG00000143127.7	TRUE	chr1	144524969	145524969	146524969	+
